,Unnamed: 0_album,Album,Song_Name,Formatted_name,lyrics,song_clean,album_clean,Unnamed: 0_spotify,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,0,Midnights,MidnightRain,MidnightRain,"Rain He wanted it comfortable, I wanted that pain He wanted a bride, I was making my own name Chasing that fame, he stayed the same All of me changed like midnight My town was a wasteland Full of cages, full of fences Pageant queens and big pretenders But for some, it was paradise My boy was a montage A slow-motion, love potion Jumping off things in the ocean I broke his heart cause he was nice He was sunshine, I was midnight rain He wanted it comfortable, I wanted that pain He wanted a bride, I was making my own name Chasing that fame, he stayed the same All of me changed like midnight It came like a postcard Picture perfect shiny family Holiday peppermint candy But for him, its every day So I peered through a window A deep portal, time travel All the love we unravel And the life I gave away Cause he was sunshine, I was midnight rain He wanted it comfortable, I wanted that pain He wanted a bride, I was making my own name Chasing that fame, he stayed the same All of me changed like midnight rain He wanted it comfortable, I wanted that pain He wanted a bride, I was making my own name Chasing that fame, he stayed the same All of me changed like midnight You might also like I guess sometimes we all get Just what we wanted, just what we wanted And he never thinks of me Except for when Im on TV I guess sometimes we all get Some kind of haunted, some kind of haunted And I never think of him Except on midnights like this (Midnights like this, midnights like this)29",midnightrain,midnights,160,Midnight Rain,Midnights,2022-10-21,6,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.71,0.604,0.375,5.87e-05,0.116,-11.637,0.0633,137.651,0.203,76,174782
1,1,Midnights,Maroon,Maroon,"When the morning came We were cleaning incense off your vinyl shelf Cause we lost track of time again Laughing with my feet in your lap Like you were my closest friend Howd we end up on the floor, anyway? you say Your roommates cheap-ass screw-top rosé, thats how I see you every day now And I chose you The one I was dancing with In New York, no shoes Looked up at the sky and it was The burgundy on my t-shirt When you splashed your wine into me And how the blood rushed into my cheeks So scarlet, it was The mark thеy saw on my collarbone The rust that grew bеtween telephones The lips I used to call home So scarlet, it was maroon When the silence came We were shaking, blind and hazy How the hell did we lose sight of us again? Sobbing with your head in your hands Aint that the way shit always ends? You were standing hollow-eyed in the hallway Carnations you had thought were roses, thats us I feel you, no matter what The rubies that I gave up And I lost you The one I was dancing with In New York, no shoes Looked up at the sky and it was (Maroon) The burgundy on my t-shirt When you splashed your wine into me And how the blood rushed into my cheeks So scarlet, it was (Maroon) The mark they saw on my collarbone The rust that grew between telephones The lips I used to call home So scarlet, it was maroon And I wake with your memory over me Thats a real fucking legacy, legacy (It was maroon) And I wake with your memory over me Thats a real fucking legacy to leave You might also like The burgundy on my t-shirt When you splashed your wine into me And how the blood rushed into my cheeks So scarlet, it was maroon The mark they saw on my collarbone The rust that grew between telephones The lips I used to call home So scarlet, it was maroon It was maroon It was maroon34",maroon,midnights,156,Maroon,Midnights,2022-10-21,2,3eX0NZfLtGzoLUxPNvRfqm,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,0.0634,0.655,0.384,1.45e-06,0.0973,-8.29,0.0349,108.058,0.0384,72,218270
2,2,Midnights,Labyrinth,Labyrinth,"It only hurts this much right now Was what I was thinkin the whole time Breathe in, breathe through, breathe deep, breathe out Ill be gettin over you my whole life You know how scared I am of elevators Never trust it if it rises fast It cant last Uh-oh, Im fallin in love Oh no, Im fallin in love again Oh, Im fallin in love I thought the plane was goin down Howd you turn it right around? It only feels this raw right now Lost in the labyrinth of my mind Break up, break free, break through, break down You would break your back to make me break a smile You know how much I hate That everybody just expects me to bounce back Just like that Uh-oh, Im fallin in love Oh no, Im fallin in love again Oh, Im fallin in love I thought the plane was goin down Howd you turn it right around? Uh-oh, Im fallin in love Oh no, Im fallin in love again Oh, Im fallin in love I thought the plane was goin down Howd you turn it right around? Uh-oh, Im fallin in love Oh no, Im fallin in love again Oh, Im fallin in love I thought the plane was goin down Howd you turn it right around? Uh-oh, Im fallin in love Oh no, Im fallin in love again Oh, Im fallin in love I thought the plane was goin down Howd you turn it right around?You might also like20",labyrinth,midnights,164,Labyrinth,Midnights,2022-10-21,10,0A1JLUlkZkp2EFrosoNQi0,spotify:track:0A1JLUlkZkp2EFrosoNQi0,0.797,0.48,0.295,0.333,0.12,-15.512,0.0384,110.018,0.132,70,247962
3,3,Midnights,YoureOnYourOwn_Kid,You're On Your Own Kid,"Summer went away, still, the yearning stays I play it cool with the best of them I wait patiently, hes gonna notice me Its okay, were the best of friends Anyway I hear it in your voice, youre smoking with your boys I touch my phone as if its your face I didnt choose this town, I dream of getting out Theres just one who could make me stay All my days From sprinkler splashes to fireplace ashes I waited ages to see you there I search the party of better bodies Just to learn that you never cared Youre on your own, kid You always have been I see the great escape, so long, Daisy May I picked the petals, he loves me not Something different bloomed, writing in my room I play my songs in the parking lot Ill run away From sprinkler splashes to fireplace ashes I called a taxi to take me there I search the party of better bodies Just to learn that my dreams arent rare Youre on your own, kid You always have been You might also like From sprinkler splashes to fireplace ashes I gave my blood, sweat, and tears for this I hosted parties and starved my body Like Id be saved by a perfect kiss The jokes werent funny, I took the money My friends from home dont know what to say I looked around in a blood-soaked gown And I saw something they cant take away Cause there were pages turned with the bridges burned Everything you lose is a step you take So, make the friendship bracelets, take the moment and taste it Youve got no reason to be afraid Youre on your own, kid Yeah, you can face this Youre on your own, kid You always have been40",youreonyourownkid,midnights,159,"You're On Your Own, Kid",Midnights,2022-10-21,5,4D7BCuvgdJlYvlX5WlN54t,spotify:track:4D7BCuvgdJlYvlX5WlN54t,0.447,0.696,0.39,1.55e-05,0.125,-10.331,0.0616,120.032,0.395,77,194206
4,5,Midnights,Question____,Question____,"I remember Good girl, sad boy Big city, wrong choices We had one thing goin on I swear that it was somethin Cause I dont remember who I was Before you painted all my nights A color Ive searched for since But one thing after another Fuckin situations, circumstances Miscommunications, and I Have to say, by the way I just may like some explanations Can I ask you a question? Did you ever have someone kiss you in a crowded room And every single one of your friends was makin fun of you But fifteen seconds later, thеy were clappin too? Then what did you do? Did you lеave her house in the middle of the night? Oh Did you wish youd put up more of a fight, oh When she said it was too much? Do you wish you could still touch her? Its just a question Half-moon eyes, bad surprise Did you realize out of time? She was on your mind with some dickhead guy That you saw that night But you were on somethin It was one drink after another Fuckin politics and gender roles And youre not sure and I dont know Got swept away in the gray I just may like to have a conversation Can I ask you a question? Did you ever have someone kiss you in a crowded room And every single one of your friends was makin fun of you But fifteen seconds later, they were clappin too? Then what did you do? Did you leave her house in the middle of the night? Oh Did you wish youd put up more of a fight, oh When she said it was too much? Do you wish you could still touch her? Its just a question You might also like Does it feel like everythings just like Second best after that meteor strike? And whats that that I heard? That youre still with her? Thats nice, Im sure thats whats suitable And right, but tonight Can I ask you a question? (Can I ask you a question?) Did you ever have someone kiss you in a crowded room (In a crowded room) And every single one of your friends was makin fun of you (Makin fun of you) But fifteen seconds later, they were clappin too? Then what did you do? (Do) Did you leave her house in the middle of the night? Oh Did you wish youd put up more of a fight, oh (More of a fight) When she said it was too much? Do you wish you could still touch her? Its just a question21",question,midnights,161,Question...?,Midnights,2022-10-21,7,0heeNYlwOGuUSe7TgUD27B,spotify:track:0heeNYlwOGuUSe7TgUD27B,0.206,0.654,0.51,0.0,0.249,-8.767,0.242,108.874,0.105,66,210556
5,6,Midnights,VigilanteShit,Vigilante Shit,"Draw the cat eye sharp enough to kill a man You did some bad things, but Im the worst of them Sometimes I wonder which onell be your last lie They say looks can kill and I might try I dont dress for women I dont dress for men Lately, Ive been dressin for revenge I dont start shit, but I can tell you how it ends Dont get sad, get even So on the weekends I dont dress for friends Lately, Ive been dressin for revenge She needed cold, hard proof, so I gave her some She had the envelope, where you think she got it from? Now she gets the house, gets the kids, gets the pride Picture me thick as thieves with your ex-wife And she looks so pretty Drivin in your Benz Lately, shes been dressin for revenge She dont start shit, but she can tell you how it ends Dont get sad, get even So on the weekends She dont dress for friends Lately, shes been dressing for revenge Ladies always rise above Ladies know what people want Someone sweet and kind and fun The lady simply had enough While he was doin lines and crossin all of mine Someone told his white-collar crimes to the FBI And I dont dress for villains Or for innocents Im on my vigilante shit again You might also like I dont start shit, but I can tell you how it ends Dont get sad, get even So on the weekends I dont dress for friends Lately, Ive been dressin for revenge31",vigilanteshit,midnights,162,Vigilante Shit,Midnights,2022-10-21,8,1xwAWUI6Dj0WGC3KiUPN0O,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.166,0.872,0.267,2.18e-05,0.123,-10.764,0.387,79.964,0.168,74,164801
6,7,Midnights,Karma,Karma,"Youre talking shit for the hell of it Addicted to betrayal, but youre relevant Youre terrified to look down Cause if you dare, youll see the glare Of everyone you burned just to get there Its coming back around And I keep my side of the street clean You wouldnt know what I mean Cause karma is my boyfriend Karma is a god Karma is the breeze in my hair on the weekend Karmas a relaxing thought Arent you envious that for you its not? Sweet like honey, karma is a cat Purring in my lap cause it loves me Flexing like a goddamn acrobat Me and karma vibe like that Spiderboy, king of thieves Weave your little webs of opacity My pennies made your crown Trick me once, trick me twice Dont you know that cash aint the only price? Its coming back around And I keep my side of the street clean You wouldnt know what I mean Cause karma is my boyfriend Karma is a god Karma is the breeze in my hair on the weekend Karmas a relaxing thought Arent you envious that for you its not? Sweet like honey, karma is a cat Purring in my lap cause it loves me Flexing like a goddamn acrobat Me and karma vibe like that You might also like Ask me what I learned from all those years Ask me what I earned from all those tears Ask me why so many fade, but Im still here (Im still here, Im still here) Cause karma is the thunder Rattling your ground Karmas on your scent like a bounty hunter Karmas gonna track you down Step by step, from town to town Sweet like justice, karma is a queen Karma takes all my friends to the summit Karma is the guy on the screen Coming straight home to me Cause karma is my boyfriend (Karma is my boyfriend) Karma is a god Karma is the breeze in my hair on the weekend (Weekend) Karmas a relaxing thought Arent you envious that for you its not? Sweet like honey, karma is a cat Purring in my lap cause it loves me Flexing like a goddamn acrobat Me and karma vibe like that Karma is my boyfriend Karma is a god (Ah) Uh-huh, mm Karmas a relaxing thought27",karma,midnights,165,Karma,Midnights,2022-10-21,11,7KokYm8cMIXCsGVmUvKtqf,spotify:track:7KokYm8cMIXCsGVmUvKtqf,0.062,0.64,0.619,0.0,0.475,-7.108,0.065,90.008,0.121,80,204852
7,8,Midnights,SweetNothing,SweetNothing,"I spy with my little tired eye Tiny as a firefly A pebble that we picked up last July Down deep inside your pocket We almost forgot it Does it ever miss Wicklow sometimes? Ooh, ooh They said the end is comin Everyones up to somethin I find myself runnin home to your sweet nothings Outside, theyre push and shovin Youre in the kitchen hummin All that you ever wanted from me was sweet nothin On the way home I wrote a poem You say, What a mind This happens all the time Ooh, ooh Causе they said the end is comin Evеryones up to somethin I find myself runnin home to your sweet nothings Outside, theyre push and shovin Youre in the kitchen hummin All that you ever wanted from me was nothin Industry disruptors and soul deconstructors And smooth-talking hucksters out glad-handing each other And the voices that implore, You should be doing more To you, I can admit that Im just too soft for all of it Ooh They said the end is comin Everyones up to somethin I find myself runnin home to your sweet nothings Outside, theyre push and shovin Youre in the kitchen hummin All that you ever wanted from me was sweet nothin They said the end is comin (They said the end is comin) Everyones up to somethin (Everyones up to somethin) I find myself runnin home to your sweet nothings Outside, theyre push and shovin (Outside, theyre push and shovin) Youre in the kitchen hummin (Youre in the kitchen hummin) All that you ever wanted from me was sweet nothinYou might also like22",sweetnothing,midnights,166,Sweet Nothing,Midnights,2022-10-21,12,0wavGRldH0AWyu2zvTz8zb,spotify:track:0wavGRldH0AWyu2zvTz8zb,0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,69,188496
8,9,Midnights,Bejeweled,Bejeweled,"Baby love, I think Ive been a little too kind Didnt notice you walkin all over my peace of mind In the shoes I gave you as a present Puttin someone first only works when youre in their top five And by the way, Im goin out tonight Best believe Im still bejeweled When I walk in the room I can still make the whole place shimmer And when I meet the band They ask, Do you have a man? I could still say, I dont remember Familiarity breeds contempt Dont put mе in the basement Whеn I want the penthouse of your heart Diamonds in my eyes I polish up real, I polish up real nice Nice Baby boy, I think Ive been too good of a girl (Too good of a girl) Did all the extra credit, then got graded on a curve I think its time to teach some lessons I made you my world (Huh), have you heard? (Huh) I can reclaim the land And I miss you (Miss you), but I miss sparklin (Nice) Best believe Im still bejeweled When I walk in the room I can still make the whole place shimmer And when I meet the band They ask, Do you have a man? I could still say, I dont remember Familiarity breeds contempt Dont put me in the basement When I want the penthouse of your heart Diamonds in my eyes I polish up real, I polish up real nice Nice You might also like Sapphire tears on my face Sadness became my whole sky But some guy said my auras moonstone Just cause he was high And were dancin all night And you can try to change my mind But you might have to wait in line Whats a girl gonna do? A diamonds gotta shine Best believe Im still bejeweled When I walk in the room I can still make the whole place shimmer (Shimmer) And when I meet the band They ask, Do you have a man? I could still say, I dont remember Familiarity breeds contempt Dont put me in the basement When I want the penthouse of your heart Diamonds in my eyes I polish up real (Nice), I polish up real nice And were dancin all night And you can try to change my mind But you might have to wait in line Whats a girl gonna do? Whats a girl gonna do? I polish up nice Best believe Im still bejeweled When I walk in the room I can still make the whole place shimmer28",bejeweled,midnights,163,Bejeweled,Midnights,2022-10-21,9,3qoftcUZaUOncvIYjFSPdE,spotify:track:3qoftcUZaUOncvIYjFSPdE,0.0593,0.687,0.551,0.000143,0.09,-9.202,0.0787,163.994,0.443,77,194165
9,10,Midnights,Anti_Hero,Anti Hero,"I have this thing where I get older, but just never wiser Midnights become my afternoons When my depression works the graveyard shift, all of the people Ive ghosted stand there in the room I should not be left to my own devices They come with prices and vices I end up in crisis (Tale as old as time) I wake up screaming from dreaming One day, Ill watch as youre leaving Cause you got tired of my scheming (For the last time) Its me, hi Im the problem, its me At teatime, everybody agrees Ill stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero Sometimes, I feel like everybody is a sexy baby And Im a monster on the hill Too big to hang out, slowly lurching toward your favorite city Pierced through the heart, but never killed Did you hear my covert narcissism I disguise as altruism Like some kind of congressman? (A tale as old as time) I wake up screaming from dreaming One day, Ill watch as youre leaving And life will lose all its meaning (For the last time) Its me, hi Im the problem, its me (Im the problem, its me) At teatime, everybody agrees Ill stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero You might also like I have this dream my daughter-in-law kills me for the money She thinks I left them in the will The family gathers round and reads it and then someone screams out Shes laughing up at us from Hell Its me, hi Im the problem, its me Its me, hi Im the problem, its me Its me, hi Everybody agrees, everybody agrees Its me, hi (Hi) Im the problem, its me (Im the problem, its me) At teatime (Teatime), everybody agrees (Everybody agrees) Ill stare directly at the sun, but never in the mirror It must be exhausting always rooting for the anti-hero64",antihero,midnights,157,Anti-Hero,Midnights,2022-10-21,3,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49,85,200690
